n,m,r,c
100,274.0,100,0.594983440207455
200,583.0,100,0.5501746683587554
300,946.0,100,0.5528495077336206
400,1288.0,100,0.5374312031194879
500,1637.0,100,0.5268232442253641
600,2133.0,100,0.5557353592439778
700,2440.0,100,0.5320823600755296
800,2870.0,100,0.5366803856611695
900,3265.0,100,0.5333089160507487
1000,3802.0,100,0.5503958733987212
1100,4288.0,100,0.5566393518842421
1200,4631.0,100,0.5443053377353472
1300,5144.0,100,0.5518629156661669
1400,5454.0,100,0.5377680749704924
1500,6018.0,100,0.5485955280497499
1600,6455.0,100,0.5468293353284773
1700,6860.0,100,0.5424961083746407
1800,7308.0,100,0.5416552972947639
1900,7686.0,100,0.5358241823385747
2000,8400.0,100,0.5525659646805979
2100,8366.0,100,0.5207803397826775
2200,9160.0,100,0.5409980933154098
2300,9755.0,100,0.5479251040486373
2400,10253.0,100,0.5488835120724717
2500,10567.0,100,0.5402319968639094
2600,10867.0,100,0.5315367685358318
2700,11303.0,100,0.5298433818307535
2800,11661.0,100,0.5246876979558404
2900,12642.0,100,0.5467957262022519
3000,12832.0,100,0.5342414393533358
3100,13521.0,100,0.5425460270742446
3200,13931.0,100,0.5393988546153248
3300,14558.0,100,0.5445187143985312
3400,14785.0,100,0.5347737795657378
3500,15051.0,100,0.526962330562152
3600,15752.0,100,0.5343413932388772
3700,16215.0,100,0.5333964752838946
3800,17194.0,100,0.5489349256887517
3900,17438.0,100,0.5407458050477002
4000,17639.0,100,0.5316763452534333
4100,17776.0,100,0.5211857302940623
4200,18712.0,100,0.5340193746686893
4300,18567.0,100,0.5161027806617978
4400,19666.0,100,0.532763589891576
4500,20025.0,100,0.5290167043888314
4600,21097.0,100,0.5437997165308966
4700,21466.0,100,0.5401611337658028
4800,21273.0,100,0.5228505096170089
4900,22080.0,100,0.5303198182241532
5000,22666.0,100,0.5322410679340502
5100,22751.0,100,0.522546863895464
5200,23910.0,100,0.5373836486125733
5300,24146.0,100,0.5312657211613172
5400,24405.0,100,0.525874253841756
5500,25542.0,100,0.5392160443754757
5600,25727.0,100,0.5323093097356694
5700,26334.0,100,0.5342138871753674
5800,27006.0,100,0.5373199554318673
5900,27546.0,100,0.537714012533108
6000,28367.0,100,0.5434594308040022
6100,28691.0,100,0.5396304327837492
6200,28908.0,100,0.5339461773502509
6300,29493.0,100,0.535124074699767
6400,29613.0,100,0.527955628268831
6500,29502.0,100,0.5169701609193889
6600,30984.0,100,0.5337849807097043
6700,31443.0,100,0.5326967261920877
6800,31224.0,100,0.5203322730317337
6900,32588.0,100,0.5343082602850256
7000,32803.0,100,0.5292884506684609
7100,32570.0,100,0.5172983204561383
7200,33385.0,100,0.5220548314927981
7300,34692.0,100,0.5342318606235712
7400,35475.0,100,0.5380842203275554
7500,35489.0,100,0.5303202821202831
7600,35775.0,100,0.5267779389363904
7700,37577.0,100,0.5453283240434277
7800,36281.0,100,0.5190217642784803
7900,37178.0,100,0.5243761828305276
8000,38026.0,100,0.5288912766516989
8100,39514.0,100,0.5420531047238971
8200,39539.0,100,0.5350519781679689
8300,39710.0,100,0.5301785933914014
8400,40778.0,100,0.5372433379633057
8500,40271.0,100,0.5236359643039739
8600,41387.0,100,0.531202889105124
